CVE-ID,Summary,Provided Nodes,Provided cpe,Inferred cpe,Inferred Product Name,Inferred Nodes,Inferred Nodes Confidence,LLM generated condition string
CVE-2023-7017,"Sciener locks' firmware update mechanism do not authenticate or validate firmware updates if passed to the lock through the Bluetooth Low Energy service. A challenge request can be sent to the lock with a command to prepare for an update, rather than an unlock request, allowing an attacker to compromise the device.",[],[],"[[""cpe:2.3:a:sciener:locks:*:*:*:*:*:*:*:*""]]",Sciener locks,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'cpe23Uri': 'cpe:2.3:a:sciener:locks:*:*:*:*:*:*:*:*'}]}]",none,firmware_update_mechanism.authenticate_validate_firmware_updates == false && bluetooth_low_energy_service.accept_update_command == true
CVE-2023-7009,"Some Sciener-based locks support plaintext message processing over Bluetooth Low Energy, allowing unencrypted malicious commands to be passed to the lock. These malicious commands, less then 16 bytes in length, will be processed by the lock as if they were encrypted communications. This can be further exploited by an attacker to compromise the lock's integrity.",[],[],"[[""cpe:2.3:a:sciener:sciener-based_locks:*:*:*:*:*:*:*:*""]]",Sciener-based locks,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'cpe23Uri': 'cpe:2.3:a:sciener:sciener-based_locks:*:*:*:*:*:*:*:*'}]}]",none,length(malicious_commands) < 16 && malicious_commands_processed_as_encrypted
CVE-2023-7007,"Sciener server does not validate connection requests from the GatewayG2, allowing an impersonation attack that provides the attacker the unlockKey field.",[],[],"[[""cpe:2.3:a:sciener:server:!validate_connection_requests(GatewayG2):*:*:*:*:*:*:*""]]",Sciener server,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'cpe23Uri': 'cpe:2.3:a:sciener:server:!validate_connection_requests(GatewayG2):*:*:*:*:*:*:*'}]}]",none,!validate_connection_requests(GatewayG2)
CVE-2023-7006,"The unlockKey character in a lock using Sciener firmware can be brute forced through repeated challenge requests, compromising the locks integrity.",[],[],"[[""cpe:2.3:o:sciener:firmware:-:*:*:*:*:*:*:*""]]",Sciener firmware,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'cpe23Uri': 'cpe:2.3:o:sciener:firmware:-:*:*:*:*:*:*:*'}]}]",none,unlockKey can be brute forced
CVE-2023-7004,"The TTLock App does not employ proper verification procedures to ensure that it is communicating with the expected device, allowing for connection to a device that spoofs the MAC address of a lock, which compromises the legitimate locks integrity.",[],[],"[[""cpe:2.3:a:ttlock:ttlock:*:*:*:*:*:*:*:*""]]",TTLock App,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:a:ttlock:ttlock:*:*:*:*:*:*:*:*'}]}]",medium,MAC(device) != MAC(lock)
CVE-2023-7003,"The AES key utilized in the pairing process between a lock using Sciener firmware and a wireless keypad is not unique, and can be reused to compromise other locks using the Sciener firmware.",[],[],"[[""cpe:2.3:o:sciener:firmware:-:*:*:*:*:*:*:*""]]",Sciener firmware,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'cpe23Uri': 'cpe:2.3:o:sciener:firmware:-:*:*:*:*:*:*:*'}]}]",none,AES key is not unique
CVE-2023-6960,"TTLock App virtual keys and settings are only deleted client side, and if preserved, can access the lock after intended deletion.",[],[],"[[""cpe:2.3:a:ttlock:ttlock:*:*:*:*:*:*:*:*""]]",TTLock App,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'cpe23Uri': 'cpe:2.3:a:ttlock:ttlock:*:*:*:*:*:*:*:*'}]}]",medium,virtual_keys_and_settings_deleted_client_side && preserved_settings_can_access_lock_after_intended_deletion
CVE-2024-28403,TOTOLINK X2000R before V1.0.0-B20231213.1013 is vulnerable to Cross Site Scripting (XSS) via the VPN Page.,[],[],"[[""cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*""]]",TOTOLINK X2000R,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': ""'1.0.0-B20231213.1013'"", 'cpe23Uri': 'cpe:2.3:h:totolink:x2000r:*:*:*:*:*:*:*:*'}]}]",high,version < '1.0.0-B20231213.1013'
CVE-2023-47699,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.  IBM X-Force ID:  270974.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,(version <= 6.1.0) && (version >= 6.0.3)
CVE-2023-47147,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 could allow an attacker to overwrite a log message under specific conditions.  IBM X-Force ID:  270598.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,(version <= 6.1.0) && (version >= 6.0.3)
CVE-2023-46181,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 allows web pages to be stored locally which can be read by another user on the system.  IBM X-Force ID:  269686.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,(version <= 6.1.0) && (version >= 6.0.3)
CVE-2021-38938,IBM Host Access Transformation Services (HATS) 9.6 through 9.6.1.4 and 9.7 through 9.7.0.3 stores user credentials in plain clear text which can be read by a local user.  IBM X-Force ID:  210989.,[],[],"[[""cpe:2.3:a:ibm:host_access_transformation_services:*:*:*:*:*:*:*:*""]]",IBM Host Access Transformation Services (HATS),"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionStartIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:ibm:host_access_transformation_services:*:*:*:*:*:*:*:*'}]}]",none,version >= 9.6 && version <= 9.6.1.4 || version >= 9.7 && version <= 9.7.0.3
CVE-2024-28319,gpac 2.3-DEV-rev921-g422b78ecf-master was discovered to contain an out of boundary read vulnerability via gf_dash_setup_period media_tools/dash_client.c:6374,[],[],"[[""cpe:2.3:a:gpac:gpac:*:*:*:*:*:*:*:*""]]",gpac,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': '2.3-DEV-rev921-g422b78ecf-master', 'cpe23Uri': 'cpe:2.3:a:gpac:gpac:*:*:*:*:*:*:*:*'}]}]",high,version < 2.3-DEV-rev921-g422b78ecf-master
CVE-2024-28318,gpac 2.3-DEV-rev921-g422b78ecf-master was discovered to contain a out of boundary write vulnerability via swf_get_string at scene_manager/swf_parse.c:325,[],[],"[[""cpe:2.3:a:gpac:gpac:*:*:*:*:*:*:*:*""]]",gpac,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': '2.3-DEV-rev921-g422b78ecf-master', 'cpe23Uri': 'cpe:2.3:a:gpac:gpac:*:*:*:*:*:*:*:*'}]}]",high,version < 2.3-DEV-rev921-g422b78ecf-master
CVE-2023-51522,"Cross-Site Request Forgery (CSRF) vulnerability in Cozmoslabs Paid Member Subscriptions.This issue affects Paid Member Subscriptions: from n/a through 2.10.4.

",[],[],"[[""cpe:2.3:a:cozmoslabs:paid_member_subscriptions:*:*:*:*:*:*:*:*""]]",Cozmoslabs Paid Member Subscriptions,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:cozmoslabs:paid_member_subscriptions:*:*:*:*:*:*:*:*'}]}]",none,version <= 2.10.4
CVE-2023-51369,"Cross-Site Request Forgery (CSRF) vulnerability in SysBasics Customize My Account for WooCommerce.This issue affects Customize My Account for WooCommerce: from n/a through 1.8.3.

",[],[],"[[""cpe:2.3:a:customizemy:customize_my_account_for_woocommerce:*:*:*:*:*:*:*:*""]]",Customize My Account for WooCommerce,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:customizemy:customize_my_account_for_woocommerce:*:*:*:*:*:*:*:*'}]}]",none,version <= 1.8.3
CVE-2023-50898,"Missing Authorization vulnerability in sirv.Com Sirv.This issue affects Sirv: from n/a through 7.1.2.

",[],[],"[[""cpe:2.3:a:sirv:sirv:*:*:*:*:*:*:*:*""]]",sirv.Com Sirv,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': '7.1.3', 'cpe23Uri': 'cpe:2.3:a:sirv:sirv:*:*:*:*:*:*:*:*'}]}]",high,version < 7.1.3
CVE-2023-50886,"Cross-Site Request Forgery (CSRF), Incorrect Authorization vulnerability in wpWax Legal Pages.This issue affects Legal Pages: from n/a through 1.3.7.

",[],[],"[[""cpe:2.3:a:wpwax:legal_pages:*:*:*:*:*:wordpress:*:*""]]",wpWax Legal Pages,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:wpwax:legal_pages:*:*:*:*:*:wordpress:*:*'}]}]",high,version <= 1.3.7
CVE-2023-47162,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.  IBM X-Force ID:  270973.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,(version <= 6.1.0) && (version >= 6.0.3)
CVE-2023-46182,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.  IBM X-Force ID:  269692.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,(version <= 6.1.0) && (version >= 6.0.3)
CVE-2023-46179,IBM Sterling Secure Proxy 6.0.3 and 6.1.0 does not set the secure attribute on authorization tokens or session cookies. Attackers may be able to get the cookie values by sending a http:// link to a user or by planting this link in a site the user goes to. The cookie will be sent to the insecure link and the attacker can then obtain the cookie value by snooping the traffic.  IBM X-Force ID:  269683.,[],[],"[[""cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*""]]",IBM Sterling Secure Proxy,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'high', 'versionEndIncluding': '6.0.3', 'cpe23Uri': 'cpe:2.3:a:ibm:sterling_secure_proxy:*:*:*:*:*:*:*:*'}]}]",high,version < 6.0.3 || version = 6.0.3 || version = 6.1.0
CVE-2024-25597,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Etoile Web Design Ultimate Reviews allows Stored XSS.This issue affects Ultimate Reviews: from n/a through 3.2.8.

",[],[],"[[""cpe:2.3:a:etoile:web_design_ultimate:*:*:*:*:*:*:*:*""]]",Etoile Web Design Ultimate Reviews,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:etoile:web_design_ultimate:*:*:*:*:*:*:*:*'}]}]",none,version <= 3.2.8
CVE-2024-25596,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Doofinder Doofinder for WooCommerce allows Stored XSS.This issue affects Doofinder for WooCommerce: from n/a through 2.1.8.

",[],[],"[[""cpe:2.3:a:doofinder:doofinder:*:*:*:*:*:*:*:*""]]",Doofinder for WooCommerce,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:doofinder:doofinder:*:*:*:*:*:*:*:*'}]}]",medium,version <= 2.1.8
CVE-2024-25593,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Basix NEX-Forms – Ultimate Form Builder allows Stored XSS.This issue affects NEX-Forms – Ultimate Form Builder: from n/a through 8.5.5.

",[],[],"[[""cpe:2.3:a:basixonline:nex-forms:*:*:*:*:*:*:*:*""]]",Basix NEX-Forms - Ultimate Form Builder,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:basixonline:nex-forms:*:*:*:*:*:*:*:*'}]}]",medium,version <= 8.5.5
CVE-2024-25592,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WPMU DEV Broken Link Checker allows Stored XSS.This issue affects Broken Link Checker: from n/a through 2.2.3.

",[],[],"[[""cpe:2.3:a:wpmudev:broken_link_checker:*:*:*:*:*:*:*:*""]]",WPMU DEV Broken Link Checker,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'medium', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:wpmudev:broken_link_checker:*:*:*:*:*:*:*:*'}]}]",medium,version <= 2.2.3
CVE-2023-51525,"Cross-Site Request Forgery (CSRF) vulnerability in Veribo, Roland Murg WP Simple Booking Calendar.This issue affects WP Simple Booking Calendar: from n/a through 2.0.8.4.

",[],[],"[[""cpe:2.3:a:wp_simple_booking_calendar_project:wp_simple_booking_calendar:*:*:*:*:*:wordpress:*:*""]]",WP Simple Booking Calendar,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:wp_simple_booking_calendar_project:wp_simple_booking_calendar:*:*:*:*:*:wordpress:*:*'}]}]",none,version <= 2.0.8.4
CVE-2023-50861,"Cross-Site Request Forgery (CSRF) vulnerability in realmag777 HUSKY – Products Filter for WooCommerce (formerly WOOF).This issue affects HUSKY – Products Filter for WooCommerce (formerly WOOF): from n/a through 1.3.4.3.

",[],[],"[[""cpe:2.3:a:husky:products_filter_for_woocommerce:*:*:*:*:*:*:*:*""]]",HUSKY - Products Filter for WooCommerce (formerly WOOF),"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:husky:products_filter_for_woocommerce:*:*:*:*:*:*:*:*'}]}]",none,version <= 1.3.4.3
CVE-2024-2495,Cryptographic key vulnerability encoded in the FriendlyWrt firmware affecting version 2022-11-16.51b3d35. This vulnerability could allow an attacker to compromise the confidentiality and integrity of encrypted data.,[],[],"[[""cpe:2.3:a:friendlywrt:friendlywrt:*:*:*:*:*:*:*:*""]]",FriendlyWrt,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:friendlywrt:friendlywrt:*:*:*:*:*:*:*:*'}]}]",none,version <= 2022-11-16.51b3d35
CVE-2024-27196,"Cross Site Scripting (XSS) vulnerability in Joel Starnes postMash – custom post order allows Reflected XSS.This issue affects postMash – custom post order: from n/a through 1.2.0.

",[],[],"[[""cpe:2.3:a:postmash:postmash:*:*:*:*:*:*:*:*""]]",postMash - custom post order,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '1.2.1', 'cpe23Uri': 'cpe:2.3:a:postmash:postmash:*:*:*:*:*:*:*:*'}]}]",none,version < 1.2.1
CVE-2024-27193,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in PayU PayU India allows Reflected XSS.This issue affects PayU India: from n/a through 3.8.2.

",[],[],"[[""cpe:2.3:a:payu:payu_india:*:*:*:*:*:*:*:*""]]",PayU India,"[{'operator': 'OR', 'children': [], 'cpe_match': [{'vulnerable': True, 'cpe_name': [], 'ae:confidence': 'none', 'versionEndIncluding': '=', 'cpe23Uri': 'cpe:2.3:a:payu:payu_india:*:*:*:*:*:*:*:*'}]}]",none,version <= 3.8.2
